variant,step,recall_loss,recall_acc
dense,0,2.527329190572103,0.11979166666666667
dense,100,2.3050381183624267,0.11041666666666666
dense,200,2.3033697923024494,0.10520833333333333
dense,300,2.3039222081502277,0.10416666666666667
dense,400,2.3042402267456055,0.09791666666666667
dense,500,2.3015763918558756,0.11770833333333333
dense,600,2.301338561375936,0.12395833333333334
dense,700,2.300545104344686,0.10833333333333334
dense,800,2.301742172241211,0.125
dense,900,2.3025708198547363,0.1
dense,1000,2.30307944615682,0.09895833333333333
dense,1100,2.3025482495625815,0.10208333333333333
dense,1200,2.3038129965464273,0.084375
dense,1300,2.3016900698343914,0.11145833333333334
dense,1400,2.302582518259684,0.09270833333333334
dense,1500,2.3037824948628742,0.096875
dense,1600,2.3036420663197834,0.08020833333333334
dense,1700,2.3022674719492593,0.10833333333333334
dense,1800,2.3026682217915853,0.10729166666666666
dense,1900,2.3036766688028973,0.08645833333333333
dense,2000,2.303279256820679,0.090625
sliding_window,0,2.5218019167582195,0.11979166666666667
sliding_window,100,2.3045087655385337,0.11041666666666666
sliding_window,200,2.303336985905965,0.10520833333333333
sliding_window,300,2.3040109634399415,0.10416666666666667
sliding_window,400,2.3041733264923097,0.08958333333333333
sliding_window,500,2.3016426881154377,0.11770833333333333
sliding_window,600,2.3012234369913735,0.12395833333333334
sliding_window,700,2.300508975982666,0.10833333333333334
sliding_window,800,2.3017258008321124,0.125
sliding_window,900,2.302627929051717,0.1
sliding_window,1000,2.303025801976522,0.09895833333333333
sliding_window,1100,2.3024579524993896,0.10208333333333333
sliding_window,1200,2.3037829558054606,0.084375
sliding_window,1300,2.3016772270202637,0.11145833333333334
sliding_window,1400,2.3025395552317303,0.09270833333333334
sliding_window,1500,2.303755601247152,0.096875
sliding_window,1600,2.30372846921285,0.08020833333333334
sliding_window,1700,2.302227274576823,0.10833333333333334
sliding_window,1800,2.302212444941203,0.10208333333333333
sliding_window,1900,2.303730074564616,0.08645833333333333
sliding_window,2000,2.3032822608947754,0.09479166666666666
bigbird,0,2.5273096402486166,0.11979166666666667
bigbird,100,2.3038500626881917,0.11041666666666666
bigbird,200,2.301037883758545,0.10520833333333333
bigbird,300,2.2983469645182293,0.10416666666666667
bigbird,400,2.2875378290812174,0.096875
bigbird,500,2.0524885495503744,0.1
bigbird,600,1.9463171402613322,0.23541666666666666
bigbird,700,1.8901439825693767,0.409375
bigbird,800,1.4939061085383096,0.503125
bigbird,900,0.843208638827006,0.6947916666666667
bigbird,1000,0.6097714503606161,0.7135416666666666
bigbird,1100,0.5785313328107198,0.8052083333333333
bigbird,1200,0.4074811617533366,0.7979166666666667
bigbird,1300,0.36986093521118163,0.7979166666666667
bigbird,1400,0.3861138184865316,0.7802083333333333
bigbird,1500,0.20680328706900278,0.9010416666666666
bigbird,1600,0.13767213424046834,1.0
bigbird,1700,0.07045437296231588,1.0
bigbird,1800,0.025457060212890306,1.0
bigbird,1900,0.022975793356696764,1.0
bigbird,2000,0.02168649435043335,0.9989583333333333
